IRI Week,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1193,8-Jul-02,14-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1194,15-Jul-02,21-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1195,22-Jul-02,28-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1196,29-Jul-02,4-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1197,5-Aug-02,11-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1198,12-Aug-02,18-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1199,19-Aug-02,25-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1200,26-Aug-02,1-Sep-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,1
1201,2-Sep-02,8-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1202,9-Sep-02,15-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1203,16-Sep-02,22-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1204,23-Sep-02,29-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1205,30-Sep-02,6-Oct-02,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1206,7-Oct-02,13-Oct-02,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1207,14-Oct-02,20-Oct-02,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1208,21-Oct-02,27-Oct-02,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1209,28-Oct-02,3-Nov-02,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
1210,4-Nov-02,10-Nov-02,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1211,11-Nov-02,17-Nov-02,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1212,18-Nov-02,24-Nov-02,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1213,25-Nov-02,1-Dec-02,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1214,2-Dec-02,8-Dec-02,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1215,9-Dec-02,15-Dec-02,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1216,16-Dec-02,22-Dec-02,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1217,23-Dec-02,29-Dec-02,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1218,30-Dec-02,5-Jan-03,1,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,
1219,6-Jan-03,12-Jan-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1220,13-Jan-03,19-Jan-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1221,20-Jan-03,26-Jan-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1222,27-Jan-03,2-Feb-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1223,3-Feb-03,9-Feb-03,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1224,10-Feb-03,16-Feb-03,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1225,17-Feb-03,23-Feb-03,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1226,24-Feb-03,2-Mar-03,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1227,3-Mar-03,9-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1228,10-Mar-03,16-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1229,17-Mar-03,23-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1230,24-Mar-03,30-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1231,31-Mar-03,6-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1232,7-Apr-03,13-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,,1,,,,,,
1233,14-Apr-03,20-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,
1234,21-Apr-03,27-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1235,28-Apr-03,4-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1236,5-May-03,11-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1237,12-May-03,18-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1238,19-May-03,25-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1239,26-May-03,1-Jun-03,,,,,1,,,,,,,,0,,,,,,,,,,,1,,,,,
1240,2-Jun-03,8-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1241,9-Jun-03,15-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1242,16-Jun-03,22-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1243,23-Jun-03,29-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1244,30-Jun-03,6-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1245,7-Jul-03,13-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1246,14-Jul-03,20-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1247,21-Jul-03,27-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1248,28-Jul-03,3-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1249,4-Aug-03,10-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1250,11-Aug-03,17-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1251,18-Aug-03,24-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1252,25-Aug-03,31-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,1
1253,1-Sep-03,7-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1254,8-Sep-03,14-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1255,15-Sep-03,21-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1256,22-Sep-03,28-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1257,29-Sep-03,5-Oct-03,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1258,6-Oct-03,12-Oct-03,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1259,13-Oct-03,19-Oct-03,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1260,20-Oct-03,26-Oct-03,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1261,27-Oct-03,2-Nov-03,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
1262,3-Nov-03,9-Nov-03,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1263,10-Nov-03,16-Nov-03,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1264,17-Nov-03,23-Nov-03,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1265,24-Nov-03,30-Nov-03,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1266,1-Dec-03,7-Dec-03,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1267,8-Dec-03,14-Dec-03,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1268,15-Dec-03,21-Dec-03,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1269,22-Dec-03,28-Dec-03,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1270,29-Dec-03,4-Jan-04,1,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,
1271,5-Jan-04,11-Jan-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1272,12-Jan-04,18-Jan-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1273,19-Jan-04,25-Jan-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1274,26-Jan-04,1-Feb-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1275,2-Feb-04,8-Feb-04,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1276,9-Feb-04,15-Feb-04,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1277,16-Feb-04,22-Feb-04,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1278,23-Feb-04,29-Feb-04,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1279,1-Mar-04,7-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1280,8-Mar-04,14-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1281,15-Mar-04,21-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1282,22-Mar-04,28-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1283,29-Mar-04,4-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,,1,,,,,,
1284,5-Apr-04,11-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,
1285,12-Apr-04,18-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1286,19-Apr-04,25-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1287,26-Apr-04,2-May-04,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1288,3-May-04,9-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1289,10-May-04,16-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1290,17-May-04,23-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1291,24-May-04,30-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1292,31-May-04,6-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,1,,,,,
1293,7-Jun-04,13-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1294,14-Jun-04,20-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1295,21-Jun-04,27-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1296,28-Jun-04,4-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1297,5-Jul-04,11-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1298,12-Jul-04,18-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1299,19-Jul-04,25-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1300,26-Jul-04,1-Aug-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1301,2-Aug-04,8-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1302,9-Aug-04,15-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1303,16-Aug-04,22-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1304,23-Aug-04,29-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1305,30-Aug-04,5-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,1
1306,6-Sep-04,12-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1307,13-Sep-04,19-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1308,20-Sep-04,26-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1309,27-Sep-04,3-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1310,4-Oct-04,10-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1311,11-Oct-04,17-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1312,18-Oct-04,24-Oct-04,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1313,25-Oct-04,31-Oct-04,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
1314,1-Nov-04,7-Nov-04,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1315,8-Nov-04,14-Nov-04,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1316,15-Nov-04,21-Nov-04,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1317,22-Nov-04,28-Nov-04,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1318,29-Nov-04,5-Dec-04,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1319,6-Dec-04,12-Dec-04,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1320,13-Dec-04,19-Dec-04,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1321,20-Dec-04,26-Dec-04,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1322,27-Dec-04,2-Jan-05,,,,,,,,,,,,1,0,,,,,,1,,,,,,,,,,
1323,3-Jan-05,9-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1324,10-Jan-05,16-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1325,17-Jan-05,23-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1326,24-Jan-05,30-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1327,31-Jan-05,6-Feb-05,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1328,7-Feb-05,13-Feb-05,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
