IRI Week,Year,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1342,2005,16-May-05,22-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1343,2005,23-May-05,29-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1344,2005,30-May-05,5-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,1,,,,
1345,2005,6-Jun-05,12-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,1,,,,,
1346,2005,13-Jun-05,19-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1347,2005,20-Jun-05,26-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1348,2005,27-Jun-05,3-Jul-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1349,2005,4-Jul-05,10-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1350,2005,11-Jul-05,17-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1351,2005,18-Jul-05,24-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1352,2005,25-Jul-05,31-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1353,2005,1-Aug-05,7-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1354,2005,8-Aug-05,14-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1355,2005,15-Aug-05,21-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1356,2005,22-Aug-05,28-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1357,2005,29-Aug-05,4-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,1
1358,2005,5-Sep-05,11-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1359,2005,12-Sep-05,18-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1360,2005,19-Sep-05,25-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1361,2005,26-Sep-05,2-Oct-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1362,2005,3-Oct-05,9-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1363,2005,10-Oct-05,16-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1364,2005,17-Oct-05,23-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
